iter	Passed	Remaining
0	1	1684
1	3	1597
2	4	1393
3	5	1279
4	6	1213
5	6	1095
6	7	1062
7	8	1057
8	9	1026
9	10	1005
10	10	969
11	11	945
12	12	932
13	13	922
14	14	923
15	14	916
16	15	898
17	16	892
18	17	880
19	17	878
20	18	877
21	19	875
22	20	875
23	21	867
24	22	861
25	22	857
26	23	849
27	24	839
28	24	832
29	25	831
30	26	826
31	27	819
32	27	816
33	28	808
34	29	802
35	29	798
36	30	797
37	31	794
38	32	795
39	33	796
40	33	792
41	34	791
42	35	786
43	36	784
44	36	780
45	37	782
46	38	782
47	38	771
48	39	769
49	40	766
50	41	764
51	41	762
52	42	758
53	43	757
54	43	755
55	44	753
56	45	751
57	46	747
58	46	745
59	47	743
60	48	742
61	48	739
62	49	739
63	50	732
64	50	729
65	51	728
66	52	726
67	52	726
68	53	724
69	54	722
70	55	719
71	55	718
72	56	716
73	57	715
74	57	713
75	58	711
76	59	709
77	60	709
78	60	707
79	61	705
80	61	703
81	62	701
82	63	699
83	64	700
84	64	699
85	65	697
86	66	697
87	67	695
88	67	694
89	68	692
90	69	693
91	70	692
92	71	692
93	71	690
94	72	688
95	73	688
96	73	687
97	74	685
98	75	683
99	75	681
100	76	680
101	77	679
102	77	678
103	78	676
104	79	676
105	80	675
106	80	674
107	81	673
108	82	672
109	83	672
110	84	673
111	84	671
112	85	671
113	86	670
114	87	669
115	87	669
116	88	669
117	89	667
118	90	667
119	90	665
120	91	664
121	92	662
122	92	661
123	93	660
124	94	660
125	95	660
126	96	661
127	97	662
128	97	660
129	98	660
130	99	660
131	100	658
132	100	657
133	101	655
134	102	654
135	102	653
136	103	652
137	104	651
138	104	649
139	105	648
140	106	646
141	106	645
142	107	643
143	108	642
144	108	642
145	109	641
146	110	640
147	111	639
148	111	638
149	112	637
150	113	636
151	113	635
152	114	634
153	115	633
154	115	632
155	116	631
156	117	630
157	117	628
158	118	627
159	119	626
160	119	624
161	120	623
162	121	622
163	121	620
164	122	620
165	123	619
166	123	618
167	124	618
168	125	617
169	126	617
170	127	617
171	128	616
172	128	615
173	129	614
174	130	613
175	130	610
176	131	609
177	131	608
178	132	608
179	133	606
180	133	605
181	134	604
182	135	604
183	135	603
184	136	601
185	137	599
186	137	598
187	138	597
188	138	596
189	139	596
190	140	595
191	141	595
192	142	594
193	142	594
194	143	593
195	144	592
196	145	591
197	145	590
198	146	590
199	147	589
200	147	588
201	148	587
202	149	585
203	149	584
204	150	583
205	151	582
206	151	581
207	152	580
208	153	579
209	153	578
210	154	577
211	155	576
212	155	575
213	156	575
214	157	574
215	158	573
216	158	573
217	159	572
218	160	572
219	161	570
220	161	569
221	162	568
222	162	567
223	163	567
224	164	565
225	164	564
226	165	563
227	166	563
228	166	561
229	167	560
230	168	560
231	168	559
232	169	558
233	170	558
234	171	557
235	172	557
236	172	556
237	173	555
238	174	555
239	175	554
240	175	553
241	176	553
242	177	552
243	177	551
244	178	550
245	179	549
246	179	548
247	180	547
248	181	546
249	182	546
250	182	545
251	183	545
252	184	544
253	185	543
254	185	542
255	186	542
256	187	541
257	188	541
258	189	541
259	189	540
260	190	539
261	191	538
262	191	537
263	192	537
264	193	536
265	194	536
266	194	535
267	195	534
268	196	533
269	196	532
270	197	531
271	198	530
272	199	529
273	199	529
274	200	528
275	201	527
276	202	527
277	202	527
278	203	526
279	204	525
280	205	524
281	205	523
282	206	523
283	207	522
284	207	521
285	208	521
286	209	520
287	209	518
288	210	518
289	211	517
290	211	516
291	212	515
292	213	514
293	214	514
294	214	513
295	215	512
296	216	511
297	217	511
298	217	510
299	218	510
300	219	509
301	220	508
