iter	RMSE
0	7578.657453
1	7441.733914
2	7324.119238
3	7193.702946
4	7066.906527
5	6954.116436
6	6828.939035
7	6698.533548
8	6586.88649
9	6475.488918
10	6355.471102
11	6246.65859
12	6153.339982
13	6049.61287
14	5952.906214
15	5846.771398
16	5750.600693
17	5653.072793
18	5548.847829
19	5467.404119
20	5385.668166
21	5298.463172
22	5223.455077
23	5127.78617
24	5033.255539
25	4944.72656
26	4858.67227
27	4780.158013
28	4708.183238
29	4643.143009
30	4579.220112
31	4511.463289
32	4428.846222
33	4350.808837
34	4283.641088
35	4206.228339
36	4146.23619
37	4084.841274
38	4012.806426
39	3950.58552
40	3888.744152
41	3838.708668
42	3786.870584
43	3743.936704
44	3687.269007
45	3640.064182
46	3596.542593
47	3553.690834
48	3509.06926
49	3459.868673
50	3412.171354
51	3370.047364
52	3321.192624
53	3272.162096
54	3229.239128
55	3198.836537
56	3154.827174
57	3122.888444
58	3089.334106
59	3054.095113
60	3014.182792
61	2978.827017
62	2941.326619
63	2910.670077
64	2874.114593
65	2842.887199
66	2810.723068
67	2769.860389
68	2739.019846
69	2707.303204
70	2679.543561
71	2657.555371
72	2626.523168
73	2595.512262
74	2570.08909
75	2544.048421
76	2515.927427
77	2487.704411
78	2461.128099
79	2437.052555
80	2417.305746
81	2389.337878
82	2366.095091
83	2345.618742
84	2323.029967
85	2300.975992
86	2275.004289
87	2254.293943
88	2235.729348
89	2216.683581
90	2198.454613
91	2176.875854
92	2157.948989
93	2136.572819
94	2115.554856
95	2098.371855
96	2083.015999
97	2066.002234
98	2052.465191
99	2035.909967
100	2018.449046
101	2007.40682
102	1991.263689
103	1973.463746
104	1959.762479
105	1946.350333
106	1931.108815
107	1913.922491
108	1899.930687
109	1886.626499
110	1871.769549
111	1859.772788
112	1848.925369
113	1835.926392
114	1825.053615
115	1816.372662
116	1804.659328
117	1793.422004
118	1786.185685
119	1775.052021
120	1764.17631
121	1753.202828
122	1741.172526
123	1731.395455
124	1721.806892
125	1712.062003
126	1701.939562
